F1,Nov02,Nov09,Nov16,Nov23,Dec01,Dec07,Dec14,Dec21,Dec30,Jan06,Jan11,Jan18,Jan25,Feb01,Feb08,Feb15,Feb22,Feb29,Mar07,Mar14,Mar21,Mar28,Apr04,Apr11,Apr18,Apr25,May02,May09,May16
Pr(EW50),0.277237354,0.473326867,0.377431907,0.49757517,0.495635306,0.50242483,0.492725509,0.473326867,0.288218111,0.163902439,0.104901961,0.126346719,0.115234375,0.032069971,0.000969932,0.036929057,0.500484966,0.481086324,0.366375121,0.484966052,0.045680238,0.05952381,0.093253968,0.083250743,0.111770524,0.119683482,0.141732283,0.162241888,0.520894072
Pr(EW51),0.549610895,0.496605238,0.559338521,0.472356935,0.474296799,0.467507274,0.477206596,0.496605238,0.480038948,0.296585366,0.183333333,0.181194907,0.229492188,0.557823129,0.000969932,0.555879495,0.469447139,0.488845781,0.517006803,0.484966052,0.082423039,0.072420635,0.088293651,0.117938553,0.129574679,0.116716123,0.146653543,0.164208456,0.304178814
Pr(EW52),0.131322957,0.000969932,0.03307393,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.166504382,0.293658537,0.22745098,0.212536729,0.276367188,0.377065112,0.000969932,0.366375121,0.000969932,0.000969932,0.06122449,0.000969932,0.095332671,0.088293651,0.101190476,0.10802775,0.115727003,0.112759644,0.151574803,0.152409046,0.021379981
Pr(EW01),0.003891051,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.015579357,0.142439024,0.199019608,0.18805093,0.211914063,0.004859086,0.000969932,0.012633625,0.000969932,0.000969932,0.000971817,0.000969932,0.09632572,0.108134921,0.097222222,0.10604559,0.09495549,0.105835806,0.114173228,0.111111111,0.000971817
Pr(EW02),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.04,0.102941176,0.103819785,0.091796875,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.099304866,0.098214286,0.083333333,0.087215064,0.071216617,0.084075173,0.056102362,0.07079646,0.000971817
Pr(EW03),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.004878049,0.052941176,0.049951028,0.022460938,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.08142999,0.111111111,0.092261905,0.07234886,0.058358061,0.059347181,0.028543307,0.044247788,0.000971817
Pr(EW04),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.025490196,0.019588639,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.101290963,0.081349206,0.078373016,0.058473736,0.043521266,0.037586548,0.013779528,0.014749263,0.000971817
Pr(EW05),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.006862745,0.003917728,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.085402185,0.075396825,0.063492063,0.041625372,0.025717112,0.022749753,0.002952756,0.004916421,0.000971817
Pr(EW06),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.057596822,0.051587302,0.040674603,0.033696729,0.012858556,0.011869436,0.002952756,0.000983284,0.000971817
Pr(EW07),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.034756703,0.041666667,0.025793651,0.011892963,0.007912957,0.010880317,0.000984252,0.001966568,0.000971817
Pr(EW08),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.026812314,0.032738095,0.016865079,0.009910803,0.003956479,0.005934718,0.000984252,0.000983284,0.000971817
Pr(EW09),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.025819265,0.025793651,0.011904762,0.006937562,0.00098912,0.002967359,0.000984252,0.000983284,0.000971817
Pr(EW10),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.017874876,0.011904762,0.006944444,0.003964321,0.00098912,0.00098912,0.000984252,0.000983284,0.000971817
Pr(EW11),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.008937438,0.006944444,0.000992063,0.00099108,0.00098912,0.00098912,0.000984252,0.000983284,0.000971817
Pr(EW12),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.004965243,0.005952381,0.000992063,0.00099108,0.00098912,0.00098912,0.000984252,0.000983284,0.000971817
Pr(EW13),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.001986097,0.00297619,0.001984127,0.00099108,0.00098912,0.00098912,0.000984252,0.000983284,0.000971817
Pr(EW14),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.000993049,0.000992063,0.000992063,0.00099108,0.00098912,0.00098912,0.000984252,0.000983284,0.000971817
Pr(EW15),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.000993049,0.000992063,0.000992063,0.00099108,0.00098912,0.00098912,0.000984252,0.000983284,0.000971817
Pr(EW16),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.000993049,0.000992063,0.000992063,0.00099108,0.00098912,0.00098912,0.000984252,0.000983284,0.000971817
Pr(EW17),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.000993049,0.000992063,0.000992063,0.00099108,0.00098912,0.00098912,0.000984252,0.000983284,0.000971817
Pr(EW18),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.000993049,0.000992063,0.000992063,0.00099108,0.00098912,0.00098912,0.000984252,0.000983284,0.000971817
Pr(EW19),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.000993049,0.000992063,0.000992063,0.00099108,0.00098912,0.00098912,0.000984252,0.000983284,0.000971817
Pr(EW20),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.000993049,0.000992063,0.000992063,0.00099108,0.00098912,0.00098912,0.000984252,0.000983284,0.000971817
Pr(none),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point Prediction,51,51,51,51,51,51,51,51,51,52,52,52,52,51,42,51,51,51,51,51,2,2,1,52,51,51,51,51,50
